% New table sexy with column(s) composition woman station wheelchair discovery pop suburban midst though soil furthermore coal fifteen gang land become till dining etc writing ear companion secure start symbolic glory hunt route dna distinctive rabbit direction title proposal staff father describe sorry heavy explicit instinct vacuum everywhere ghost skirt debt aides stir lawsuit want elevator cream dance institution selected sixth scientific warmth expectation cute freely knowledge demonstrate elementary external nuclear myth incredible mexican mate created 
Printed 0 matching rows from sexy
Printed 0 matching rows from sexy
Printed 0 matching rows from sexy
Printed 0 matching rows from sexy
% Created bst index for table sexy on column everywhere
% Added 34 rows to sexy from position 0 to 33
Printed 0 matching rows from sexy
Printed 22 matching rows from sexy
Printed 0 matching rows from sexy
% Created bst index for table sexy on column glory
Printed 0 matching rows from sexy
% Added 37 rows to sexy from position 34 to 70
% Deleted 0 rows from sexy
% New table partnership with column(s) honest red blanket vary row fully rose personality sexual crop slightly dock appreciation deputy disability honestly solar fiction confirm chicken proud yesterday marry fraud created
% Added 32 rows to partnership from position 0 to 31
Printed 57 matching rows from sexy
% New table sick with column(s) hers virtually nowhere soldier button recall mrs complaint works familiar distant jewish attach rush cart cow maintain even necessity translation variable neck bullet decline graduate fun doubt flip forum sack confirm percentage birth chop military muslim fishing nobody cross regulator swell without reception subtle after integrate fifteen holy imply board shy pace catch criticism bless gang tool successfully increase disease word if unique artist tribal federal plate mutter scan jaw stroke air suggest because formation organizational casualty sentiment spiritual nice rabbit steer aide hurt convert obvious nothing created
% Added 36 rows to partnership from position 32 to 67
Printed 0 matching rows from partnership
Printed 0 rows from joining sexy to sexy
Printed 71 matching rows from sexy
Printed 71 matching rows from sexy
% Added 35 rows to partnership from position 68 to 102
Printed 103 matching rows from partnership
Printed 0 matching rows from sick
Printed 0 matching rows from sick
Printed 0 matching rows from sexy
Printed 0 rows from joining sexy to sexy
% Added 37 rows to sick from position 0 to 36
Printed 0 matching rows from sick
Printed 0 matching rows from partnership
% Deleted 11 rows from partnership
Printed 0 rows from joining sexy to sexy
Printed 0 matching rows from partnership
% Created bst index for table sick on column neck
% Added 36 rows to sexy from position 71 to 106
% Created bst index for table sexy on column start
% Created hash index for table partnership on column honest
Printed 15 rows from joining sick to partnership
% Table sick deleted
Printed 92 matching rows from partnership
Printed 107 matching rows from sexy
Printed 107 matching rows from sexy
Printed 107 matching rows from sexy
% Added 38 rows to sexy from position 107 to 144
% New table consecutive with column(s) conference unless likelihood later middle technician screening bicycle merchant rise accent original multiple suspect rifle clothing take relieve mom clerk international indian commitment outline trade faint swell contemporary interfere sacrifice surgeon earth witness pioneer honest union alarm court tune haul dose limit finance ethics distinguish fascinating refugee match supplier some desert tale carrier reception colonial weed custom exhibit fresh pleased advise frustrate wound it automatic blade format wash planning concrete mutter puzzle panel recipe only resort down texture peaceful shake each casual signal ship pain ancient fame instructor tongue created
Printed 145 matching rows from sexy
Printed 145 matching rows from sexy
% Created hash index for table partnership on column row
Printed 92 matching rows from partnership
Printed 0 rows from joining consecutive to sexy
Printed 21 matching rows from sexy
Printed 84 matching rows from partnership
Printed 0 matching rows from consecutive
% Deleted 0 rows from consecutive
Printed 0 matching rows from consecutive
Printed 55 rows from joining partnership to sexy
% Deleted 1 rows from sexy
% Added 40 rows to consecutive from position 0 to 39
% Added 34 rows to consecutive from position 40 to 73
% Added 38 rows to consecutive from position 74 to 111
% Added 39 rows to consecutive from position 112 to 150
Printed 151 matching rows from consecutive
% Added 30 rows to sexy from position 144 to 173
Printed 151 matching rows from consecutive
Printed 174 matching rows from sexy
Printed 158 matching rows from sexy
Printed 42 matching rows from partnership
% Added 30 rows to consecutive from position 151 to 180
% hunt suburban midst pop distinctive knowledge describe suburban dance 
165 13.4923 80 true 193.094 106 soon 13.4923 164 
108 28.6191 36 false 58.2998 153 volunteer 28.6191 9 
60 70.5276 177 true 152.649 13 confirm 70.5276 41 
161 167.502 98 true 183.202 59 medical 167.502 101 
161 167.502 98 true 183.202 59 medical 167.502 101 
72 14.8271 70 false 21.3504 16 standing 14.8271 23 
73 37.4225 105 false 100.641 136 dig 37.4225 179 
131 137.763 50 false 43.0214 92 incorporate 137.763 51 
171 64.7727 99 true 60.7607 148 rather 64.7727 27 
148 199.316 86 false 71.8732 161 issue 199.316 68 
50 39.1386 117 true 53.5604 179 rolling 39.1386 101 
91 163.571 56 true 23.6864 56 lend 163.571 199 
161 27.7464 143 false 149.757 84 division 27.7464 156 
37 2.49419 141 true 73.3354 131 general 2.49419 68 
80 191.638 143 true 115.614 114 distant 191.638 66 
80 191.638 143 true 115.614 114 distant 191.638 66 
164 139.192 46 true 76.8625 155 contact 139.192 7 
17 113.002 25 true 129.121 25 hand 113.002 45 
17 113.002 25 true 129.121 25 hand 113.002 45 
17 113.002 25 true 129.121 25 hand 113.002 45 
17 113.002 25 true 129.121 25 hand 113.002 45 
86 80.5643 94 true 24.4814 34 script 80.5643 111 
86 80.5643 94 true 24.4814 34 script 80.5643 111 
17 94.7455 179 false 132.059 141 effect 94.7455 123 
120 196.798 128 false 116.148 69 professional 196.798 157 
120 196.798 128 false 116.148 69 professional 196.798 157 
120 196.798 128 false 116.148 69 professional 196.798 157 
77 74.6192 181 false 157.99 118 directly 74.6192 2 
121 118.323 89 false 56.564 187 jacket 118.323 42 
121 118.323 89 false 56.564 187 jacket 118.323 42 
61 90.501 50 true 7.8129 153 minimum 90.501 109 
139 62.3801 93 false 87.1685 47 territory 62.3801 169 
139 62.3801 93 false 87.1685 47 territory 62.3801 169 
104 101.49 79 true 128.1 57 depending 101.49 115 
15 165.2 42 true 104.698 80 contribution 165.2 143 
89 198.73 36 false 126.512 129 in 198.73 115 
89 198.73 36 false 126.512 129 in 198.73 115 
89 198.73 36 false 126.512 129 in 198.73 115 
64 75.9969 51 false 111.999 78 portion 75.9969 99 
55 185.551 31 true 195.365 136 try 185.551 83 
3 199.868 106 false 163.939 119 choice 199.868 90 
22 123.184 32 true 117.875 168 twist 123.184 169 
66 188.571 75 false 70.8757 79 look 188.571 127 
103 172.568 170 false 24.7455 88 characterize 172.568 150 
131 150.057 2 true 176.217 65 speaker 150.057 1 
7 98.2596 42 true 180.069 111 aim 98.2596 106 
134 37.7541 159 false 81.3992 18 vaccine 37.7541 146 
58 167.528 151 true 148.421 31 assumption 167.528 129 
177 101.254 160 false 147.219 56 task 101.254 1 
177 101.254 160 false 147.219 56 task 101.254 1 
32 40.297 139 false 80.4624 82 nerve 40.297 60 
32 40.297 139 false 80.4624 82 nerve 40.297 60 
102 43.6978 29 false 21.6101 179 sexually 43.6978 91 
60 23.9672 71 false 26.9813 24 week 23.9672 64 
193 97.1067 44 false 55.1679 42 blast 97.1067 57 
191 98.8287 101 true 75.9474 191 review 98.8287 130 
191 98.8287 101 true 75.9474 191 review 98.8287 130 
108 185.179 78 false 49.2864 83 marriage 185.179 59 
28 169.76 185 true 43.0753 151 expensive 169.76 110 
99 69.0897 77 true 190.378 157 coming 69.0897 124 
99 69.0897 77 true 190.378 157 coming 69.0897 124 
183 193.054 188 false 93.4516 114 birthday 193.054 157 
127 161.002 60 true 126.586 137 bureau 161.002 6 
187 3.33563 26 true 13.4621 97 cluster 3.33563 17 
187 3.33563 26 true 13.4621 97 cluster 3.33563 17 
52 178.085 114 false 40.8075 83 bus 178.085 3 
52 178.085 114 false 40.8075 83 bus 178.085 3 
159 188.422 133 true 144.637 139 champion 188.422 91 
159 188.422 133 true 144.637 139 champion 188.422 91 
190 147.79 81 false 142.537 15 guilt 147.79 143 
98 160.059 7 true 95.8151 10 participant 160.059 44 
112 55.6397 170 false 196.089 7 persian 55.6397 160 
100 126.807 12 false 174.072 147 sole 126.807 163 
87 193.573 68 true 54.9843 78 rod 193.573 11 
75 20.8366 25 false 173.716 81 income 20.8366 197 
75 20.8366 25 false 173.716 81 income 20.8366 197 
117 88.2511 33 false 83.2106 189 greek 88.2511 43 
117 88.2511 33 false 83.2106 189 greek 88.2511 43 
117 88.2511 33 false 83.2106 189 greek 88.2511 43 
94 84.1183 108 true 106.557 27 remote 84.1183 196 
112 38.8875 114 true 170.853 18 specialty 38.8875 117 
36 119.211 138 true 144.818 49 employee 119.211 66 
36 119.211 138 true 144.818 49 employee 119.211 66 
193 184.902 31 false 38.1804 41 radio 184.902 132 
138 20.9953 128 true 126.52 94 armed 20.9953 75 
138 20.9953 128 true 126.52 94 armed 20.9953 75 
123 34.7714 167 false 138.591 151 overwhelming 34.7714 84 
Printed 154 rows from joining sexy to sexy
% dance furthermore secure incredible dna companion stir distinctive dna cream coal woman wheelchair discovery external father demonstrate ear dance external midst though everywhere composition solar 
9 catalog 132.64 142.521 68.0634 128.101 false 158.512 68.0634 57.0723 false 187.366 informal pill false 65.7769 true 190.425 9 false 144 179.692 true minimal married 
157 execution 14.2037 117.591 17.836 49.8279 true 93.4516 17.836 147.457 false 95.5448 hire development true 76.3241 false 137.129 157 true 188 99.7406 false fair bicycle 
3 solely 108.088 39.4287 178.029 184.114 false 40.8075 178.029 80.5512 true 98.3261 dialogue tired true 60.2748 false 122.031 3 true 114 194.302 false noise ankle 
117 rock 156.975 41.1596 102.972 29.7591 true 170.853 102.972 101.84 true 147.092 ten of true 170.779 true 24.4407 117 true 114 36.166 true instructional port 
Printed 4 rows from joining sexy to partnership
% fiction honestly appreciation disability blanket marry fraud red 
false 38 adviser false false 50 true 162.761 
Printed 1 rows from joining partnership to partnership
% writing knowledge land elementary gang suburban knowledge pop selected scientific proposal woman coal sixth selected scientific title hunt warmth demonstrate 
publicity 137 true 31 65 161.002 137 true 135.76 102.21 true 181.044 false true 135.76 102.21 84.226 127 94.9394 false 
curiosity 7 true 94 186 55.6397 7 false 54.8375 15.1305 true 105.389 true true 54.8375 15.1305 59.4414 112 3.10651 false 
official 25 false 50 42 27.4545 25 false 180.396 102.397 false 188.019 false false 180.396 102.397 166.487 132 68.8044 false 
unable 49 true 82 125 171.225 49 true 120.544 74.9815 true 16.6629 true false 120.544 74.9815 130.644 27 177.38 true 
select 111 true 73 167 174.248 111 false 21.9654 155.835 false 20.4316 false false 21.9654 155.835 180.694 70 46.9618 true 
Printed 5 matching rows from sexy
% Added 38 rows to sexy from position 174 to 211
% Added 40 rows to partnership from position 92 to 131
% Deleted 0 rows from consecutive
% rose deputy fraud fraud fraud row yesterday crop honestly furthermore demonstrate explicit though lawsuit describe expectation heavy aides mexican warmth secure father distinctive 
effort 147 true true true variety true mine 36 salad true casualty 75.3277 88.1089 cottage generally 11.705 annual 46 129.03 50.8005 35.6267 161.048 
effort 147 true true true variety true mine 36 absorb true facility 34.5194 183.984 sole inventory 7.59491 translate 110 171.393 169.569 45.5519 174.072 
theater 38 true true true concern true game 138 painful false special 147.715 175.214 ugly typical 23.189 intent 198 154.288 55.559 69.1918 112.508 
theater 38 true true true concern true game 138 catalog true responsible 117.522 57.9689 illusion bloody 198.173 limited 131 169.376 3.10238 170.029 59.1066 
theater 38 true true true concern true game 138 team false partner 168.09 91.6703 seize crack 154.422 aisle 30 96.7813 14.3401 146.492 39.5666 
corridor 186 false false false popular false leave 61 publicity true elder 141.997 96.1306 coming wonderful 90.3264 distract 97 73.6645 2.48535 145.936 190.378 
corridor 186 false false false popular false leave 61 frown true ok 2.15638 114.248 champion flag 53.0161 eyebrow 129 13.8843 150.401 78.2788 144.637 
eating 8 false false false source true lion 47 lane true region 55.0743 152.886 contribution least 22.2056 sexually 126 23.3641 52.1486 49.5694 104.698 
freshman 128 false false false distract false drift 198 pack false disappointment 56.7681 81.9947 long nationwide 79.4938 via 120 1.81828 142.266 189.848 37.0113 
freshman 128 false false false distract false drift 198 unite true themselves 199.076 102.384 repeatedly particularly 155.602 commander 23 20.8353 59.0589 96.748 43.1977 
knee 179 true true true procedure false absolute 120 selected true unit 181.786 24.8804 narrow grandfather 84.3418 ideological 53 107.259 69.1862 106.803 167.966 
knee 179 true true true procedure false absolute 120 romantic false alien 56.2978 153.34 component regain 148.225 chicken 151 169.749 103.315 3.91786 142.204 
knee 179 true true true procedure false absolute 120 finance true fog 164.219 185.928 script shall 99.3573 operate 132 44.1247 63.2493 183.822 24.4814 
bridge 112 false false false elite true elite 174 exciting false quality 129.16 194.232 proceed necessity 123.418 shop 23 113.173 28.5394 30.8354 115.088 
bridge 112 false false false elite true elite 174 drink false separation 172.299 21.2462 under go 140.675 virtue 32 29.6567 3.33772 97.1436 47.7348 
dirt 56 false false false tremendous false kick 30 canadian true aware 65.3172 12.2357 we significant 96.3084 sea 31 156.746 111.667 2.72777 51.6082 
variation 124 true true true significantly true definition 30 feminist false continued 54.5847 49.3695 marriage ancient 4.26616 convict 54 108.34 98.0964 56.8259 49.2864 
forest 53 false false false selection false gas 140 pretty true leading 192.423 39.3551 below gaze 100.159 military 164 108.204 160.631 99.2059 143.122 
forest 53 false false false selection false gas 140 pat true protective 132.94 173.97 medical anything 7.23717 fewer 97 115.394 180.378 193.881 183.202 
pick 63 false false false hike true fit 40 phone true warehouse 161.008 119.319 directly franchise 171.535 carpet 149 176.474 120.192 130.277 157.99 
mutual 138 true true true rating true position 102 whose true rapidly 150.369 156.381 sand promotion 22.1319 feature 97 67.6749 167.801 115.256 74.1456 
plus 111 true true true refuge false supreme 196 every false wave 168.485 90.8755 display feeling 190.738 inflation 92 17.8832 165.858 21.9858 183.583 
aunt 16 false false false manage false age 118 military false freeze 159.138 40.0628 likelihood opponent 52.7177 box 174 90.3923 75.2336 53.2438 15.7014 
aunt 16 false false false manage false age 118 trail false task 12.0472 169.299 nose base 35.2983 unfold 39 187.791 195.352 92.8454 71.0372 
ideology 85 false false false straw true inevitably 41 deadline false file 190.64 176.557 include organism 14.7229 permission 191 35.148 138.14 158.071 112.281 
oral 178 false false false govern true best 107 feminist false continued 54.5847 49.3695 marriage ancient 4.26616 convict 54 108.34 98.0964 56.8259 49.2864 
on 147 false false false ritual false favorable 138 house false aesthetic 33.8944 140.233 vaccine southeast 128.796 taxpayer 61 195.803 119.41 196.81 81.3992 
balloon 198 false false false rain true liberal 80 like true patient 98.9531 41.5414 mainly than 125.21 framework 36 46.8441 161.819 13.0677 117.361 
wood 8 true true true migration true troubled 108 debris false measure 105.929 14.9236 seven articulate 48.2067 structural 56 70.8546 11.3918 70.769 189.287 
grain 55 false false false flow false decrease 157 audience false jeans 155.121 7.31056 perceive technique 79.9487 nonprofit 32 86.9051 153.514 116.187 113.236 
group 34 false false false fix true first 99 biography false refer 20.6408 67.2021 regardless range 52.6903 investor 87 28.0395 33.2814 72.5552 182.83 
group 34 false false false fix true first 99 impulse false global 106.489 171.881 speaker guy 71.5858 copy 57 57.0419 115.962 111.986 176.217 
group 34 false false false fix true first 99 ground true guest 199.625 81.5685 speaker while 128.355 disorder 145 66.3733 131.13 104.822 91.2638 
understand 188 false false false main true liberal 162 perceived true apply 130.55 113.748 listen cooperative 187.005 bold 50 178.765 2.74113 9.81996 175.074 
hill 152 true true true worth true chinese 200 mystery false clock 51.3227 2.31254 hug tumor 167.528 opponent 122 102.735 167.535 49.6365 136.804 
hill 152 true true true worth true chinese 200 anxious false soil 23.0777 19.2505 grain invade 6.01775 elder 63 123.891 136.118 83.9907 3.85469 
hill 152 true true true worth true chinese 200 bike false water 59.664 89.7129 expensive politician 104.811 belt 11 25.1793 10.5841 90.2433 43.0753 
imagine 125 true true true clip false perceived 163 nearby false vessel 177.604 92.3347 guilt altogether 117.712 read 99 86.3175 128.498 126.359 142.537 
etc 37 true true true submit false through 91 remaining true private 19.391 49.3716 distribute probably 92.5975 detailed 83 163.011 83.7644 184.913 100.186 
emerging 174 false false false vulnerable true button 177 natural false standing 8.66807 191.38 look divine 106.781 dealer 118 60.8014 53.9261 135.641 70.8757 
internet 92 true true true threaten false regulate 160 wear false late 142.159 17.3447 essence cabin 66.7574 ah 96 18.1436 8.10417 23.1749 90.5594 
rental 36 false false false encourage true suspicious 77 cite false liver 134.042 171.061 issue communicate 19.0316 hearing 49 128.336 1.90083 119.388 71.8732 
rental 36 false false false encourage true suspicious 77 treaty false tag 118.67 31.9686 backyard dog 125.687 particular 116 17.5397 162.206 32.3623 56.0936 
politician 92 true true true next false desk 173 pack false disappointment 56.7681 81.9947 long nationwide 79.4938 via 120 1.81828 142.266 189.848 37.0113 
politician 92 true true true next false desk 173 unite true themselves 199.076 102.384 repeatedly particularly 155.602 commander 23 20.8353 59.0589 96.748 43.1977 
moreover 125 true true true opening true parish 181 canadian true aware 65.3172 12.2357 we significant 96.3084 sea 31 156.746 111.667 2.72777 51.6082 
limitation 115 false false false wander false physical 14 academic true angry 101.503 62.0144 radio theology 111.604 marketing 81 83.2622 62.2054 1.41429 38.1804 
smoke 169 false false false bowl false slot 110 tissue false civilization 140.536 98.6006 radio republic 55.9078 sharp 199 177.321 29.7302 189.546 104.735 
today 192 false false false norm false repeat 34 deadline false file 190.64 176.557 include organism 14.7229 permission 191 35.148 138.14 158.071 112.281 
tide 157 true true true pretty false somehow 119 bloody true diary 159.557 123.183 breath voting 73.3155 grain 20 14.7316 195.331 31.5064 167.871 
hungry 172 false false false network true respondent 167 selected true unit 181.786 24.8804 narrow grandfather 84.3418 ideological 53 107.259 69.1862 106.803 167.966 
hungry 172 false false false network true respondent 167 romantic false alien 56.2978 153.34 component regain 148.225 chicken 151 169.749 103.315 3.91786 142.204 
hungry 172 false false false network true respondent 167 finance true fog 164.219 185.928 script shall 99.3573 operate 132 44.1247 63.2493 183.822 24.4814 
epidemic 194 true true true investigation false clinical 121 reliability false dock 50.7801 174.608 bureau neighborhood 74.0421 computer 58 94.9394 58.091 152.993 126.586 
decline 73 true true true might true enact 102 shy true heavy 198.364 132.631 territory annual 169.211 noon 78 113.844 173.659 5.88696 87.1685 
decline 73 true true true might true enact 102 frame true design 43.9937 167.317 aggression gathering 164.826 retire 130 25.6557 116.101 178.904 135.979 
objective 8 true true true chart false invitation 103 nearby false vessel 177.604 92.3347 guilt altogether 117.712 read 99 86.3175 128.498 126.359 142.537 
formerly 76 true true true orientation false that 121 painful false special 147.715 175.214 ugly typical 23.189 intent 198 154.288 55.559 69.1918 112.508 
formerly 76 true true true orientation false that 121 catalog true responsible 117.522 57.9689 illusion bloody 198.173 limited 131 169.376 3.10238 170.029 59.1066 
formerly 76 true true true orientation false that 121 team false partner 168.09 91.6703 seize crack 154.422 aisle 30 96.7813 14.3401 146.492 39.5666 
cat 125 true true true condition true drift 158 mystery false clock 51.3227 2.31254 hug tumor 167.528 opponent 122 102.735 167.535 49.6365 136.804 
cat 125 true true true condition true drift 158 anxious false soil 23.0777 19.2505 grain invade 6.01775 elder 63 123.891 136.118 83.9907 3.85469 
cat 125 true true true condition true drift 158 bike false water 59.664 89.7129 expensive politician 104.811 belt 11 25.1793 10.5841 90.2433 43.0753 
juice 145 false false false control false thanks 173 doctrine true characterize 70.9356 123.121 ambition some 67.7156 discourse 8 190.221 131.269 53.1549 20.6032 
technology 45 true true true capture false fade 144 banana false incentive 189.329 125.941 photographer blank 43.5147 student 169 142.398 141.437 60.2895 35.6187 
technology 45 true true true capture false fade 144 marry false ear 195.629 43.3611 outside glance 197.824 biology 137 176.65 119.454 10.4615 24.5755 
seem 191 false false false just false robot 25 feel false run 181.487 25.279 someone slightly 178.665 observer 78 79.6036 148.268 49.1051 181.676 
seem 191 false false false just false robot 25 spiritual true meat 196.071 102.023 reaction literary 88.2966 society 99 19.0243 42.2874 14.7786 2.45426 
devil 93 true true true religion true defensive 33 then false peel 84.6944 105.671 tonight successful 74.2521 presumably 136 52.828 79.1337 35.4821 145.065 
devil 93 true true true religion true defensive 33 writer false suppose 104.676 128.536 identification currently 46.9929 send 16 119.787 197.008 148.241 14.8425 
cocaine 120 false false false productive false solely 111 galaxy false driver 73.9474 3.19159 behavior deal 171.058 concerning 187 154.158 56.4693 89.1961 54.5958 
bird 180 false false false asset true characteristic 163 bay false trust 47.1038 135.25 art allegedly 171.423 unexpected 19 73.0299 18.5344 192.43 151.569 
initiative 5 false false false resident false refer 49 prevail false essentially 114.144 108.12 belt possible 97.0043 hostage 86 127.195 179.891 198.688 9.1941 
initiative 5 false false false resident false refer 49 tremendous true works 93.3247 135.711 residential therapist 132.129 aid 164 172.581 195.507 3.72327 186.739 
controversy 97 false false false differ true hence 154 late false consult 141.4 91.3683 basket weather 8.98183 demonstrate 100 45.4831 66.5957 95.6164 185.038 
controversy 97 false false false differ true hence 154 execution false criteria 99.7406 199.199 birthday cotton 25.7829 because 171 37.2205 14.2037 76.3241 93.4516 
